PERMCO,GVKEY,companyid
16704,113269,8734
1409,32014,8750
1393,3786,8752
11545,25320,8764
27301,12821,8772
57347,24966,8774
30975,61483,8783
6213,3807,8799
1610,4485,8822
16046,109318,8847
5902,3824,8849
12484,29015,8867
16294,123474,8878
20566,3835,8886
40199,140023,8919
10517,21061,8937
12247,28524,8945
20569,3851,8946
37666,137432,8947
1303,3855,8973
12195,22447,8974
17412,126714,8984
31822,64135,8988
1285,3863,8991
13960,20653,9002
13821,60950,9007
9424,13700,9023
29875,28414,9030
15802,65944,9034
13073,30205,9038
1298,13311,9095
29753,27780,9097
35222,14934,9103
10992,3905,9109
7978,12096,9137
5541,3917,9152
23650,1884,9159
16470,65235,9168
54679,206365,9194
20582,3946,9201
14952,63572,9202
14644,62913,9211
10323,16710,9213
17474,127075,9220
17169,124435,9252
16257,113362,9265
20584,3964,9291
20585,3969,9322
5713,3971,9324
16506,27760,9335
37929,175533,9355
16574,121153,9386
17978,130041,9392
8762,4001,9412
9192,13329,9427
17935,118304,9443
15988,66530,9454
14964,63606,9456
1354,4016,9470
13603,31587,9474
12910,29864,9485
20592,4029,9491
20593,4034,9498
8686,16714,9513
32070,65413,9541
15980,66507,9549
20596,4058,9555
56665,27240,9556
1366,4062,9560
9244,13505,9599
1391,4077,9621
21973,14969,9628
46664,140757,9634
32108,65671,9636
35196,122355,9658
1418,4091,9716
20609,13510,9730
14725,63052,9752
35224,66275,9761
7974,12090,9762
39159,140044,9764
11290,24898,9773
38417,112754,9789
7062,4115,9793
14896,63468,9807
1376,4127,9821
6593,4124,9830
44885,141496,9831
21478,14403,9834
17183,111721,9876
14433,62391,9906
16402,118042,9926
20622,4186,9931
15912,66148,9936
32019,4193,9938
30070,29392,9940
16592,121437,9954
1451,4201,9963
16285,114524,9989
9312,13480,9992
16236,112774,10015
13790,60900,10024
16254,113270,10031
1467,4213,10036
17521,127436,10037
20631,13128,10039
39160,140024,10094
16550,120816,10100
56544,34376,10104
21543,9846,10130
20633,4222,10137
15098,63907,10146
1477,4225,10148
36952,133366,10156
22983,4242,10266
1507,4241,10267
20636,4251,10298
12874,29762,10322
12620,29304,10330
11729,25774,10331
41078,113530,10340
1510,4273,10350
10303,16721,10364
10318,16441,10365
16235,112775,10372
1513,4275,10377
36953,114698,10474
37152,134447,10487
11185,24662,10494
14268,6223,10503
15374,64637,10504
17939,129118,10517
31193,61584,10534
20643,4321,10535
1519,4322,10536
10108,15446,10551
28344,15337,10557
20646,4331,10568
31767,63698,10579
1523,4340,10597
14599,62811,10599
29374,24810,10606
2381,6135,10607
41365,142382,10616
15406,62395,10621
11621,25572,10622
40201,140736,10636
20649,4351,10644
36954,133367,10651
21278,7862,10664
41004,140905,10667
7953,12994,10675
2794,66404,10677
20651,4371,10696
7700,4372,10700
20653,4390,10724
43503,106291,10741
37932,137573,10744
34977,117902,10748
21201,7366,10750
34829,112876,10762
38389,137943,10784
14715,63030,10788
16266,113609,10794
1557,4418,10841
6863,4409,10842
22113,16478,10844
17932,20810,10845
11760,25859,10856
15312,64346,10862
15300,64314,10863
15147,63986,10868
20659,4423,10896
38419,138743,10899
12872,29756,10920
32030,65048,10923
34742,110382,10925
29940,28733,10928
15311,64341,10945
14013,61380,10960
1582,4448,10992
11697,25711,10993
5254,4456,11059
30421,30293,11060
20671,4460,11076
29780,23252,11099
15376,64536,11239
1583,4467,11277
41815,65176,11278
30970,61388,11292
13706,31763,11304
16101,110529,11322
41157,141277,11340
14676,62948,11341
7670,4476,11342
10931,24029,11353
37716,111179,11356
14092,61490,11369
37154,133885,11375
21396,8539,11376
10724,23027,11410
11569,25356,11414
43011,144375,11415
28217,13992,11422
16466,119574,11426
37717,136264,11427
20678,4503,11430
11099,24430,11444
31661,63172,11485
26284,13453,11495
9360,13824,11499
13180,30398,11530
20690,4560,11540
15061,63930,11547
17968,129624,11570
8788,18110,11582
15692,65421,11590
9440,14225,11608
17667,106404,11619
13336,30709,11640
28392,15153,11644
20698,4608,11652
16159,65980,11653
22856,4611,11658
34765,66731,11661
1685,4598,11664
13218,30495,11676
10684,22817,11680
30422,13962,11697
20699,4622,11700
37156,65908,11731
13276,30614,11733
9838,16763,11740
12763,29553,11741
9358,13525,11783
11541,25322,11824
16609,121713,11826
37157,62388,11865
17342,126417,11887
11565,25357,11888
10157,15474,11941
15569,65022,11959
41974,23107,11961
14096,61608,11963
21326,8099,11964
5259,4678,11972
13517,28485,11976
8598,12635,11985
41555,18364,11988
8803,17016,12025
15454,64699,12030
14516,62268,12039
20733,4759,12041
20734,4764,12048
1768,4771,12099
12214,28477,12112
1820,4801,12132
46992,28347,12144
5848,4807,12147
41367,4809,12151
1425,4108,12153
14157,61585,12160
13139,30328,12169
12639,29341,12175
5152,4826,12212
10883,23852,12236
20746,4830,12237
21936,11584,12240
10193,16872,12241
20750,4839,12262
20751,4842,12274
15190,64061,12299
20013,14685,12336
20067,1408,12348
12577,29206,12366
12074,28118,12370
37720,144727,12383
17151,124319,12384
34907,115872,12396
20684,4517,12407
29506,25331,12450
8500,12472,12452
1688,4881,12453
6407,4885,12463
20760,15377,12466
20763,14590,12493
14262,61763,12512
1686,4900,12515
10045,9473,12523
32130,30443,12525
32183,66085,12532
1824,4903,12533
15824,66004,12535
20767,4911,12549
16053,109584,12565
21879,11257,12569
11591,25430,12600
12390,28819,12602
12346,28749,12635
5440,14172,12645
14702,28460,12696
14296,61859,12698
16371,113299,12702
17298,125601,12736
7476,1518,12765
20782,4988,12812
1892,4990,12818
12457,12441,12862
16048,109366,12875
12646,29345,12881
32110,24620,12897
10384,17202,12943
20787,5024,12966
20791,5046,12984
20792,5047,12986
53687,5072,13003
11245,24771,13013
20786,5018,13020
15844,65893,13022
10975,24179,13024
1928,5020,13028
20798,5071,13034
20805,5109,13056
14754,63123,13057
31796,64063,13065
15984,66519,13068
9892,14863,13087
5308,3171,13091
35027,62865,13102
5242,5116,13104
18433,130200,13108
10127,18549,13109
20807,5125,13110
41058,111965,13115
1932,177206,13132
8840,12895,13138
20812,5142,13154
12139,28278,13163
14859,63405,13173
15963,63196,13211
3641,5149,13213
22130,19427,13245
12541,29131,13254
6080,5165,13266
34782,111486,13269
11300,24856,13273
20818,5169,13275
6944,16832,13309
41975,145024,13313
26187,14011,13314
20819,5179,13324
9721,14340,13336
31570,61941,13337
30102,29607,13344
12235,28504,13365
29963,28943,13384
16160,111723,13385
11948,27816,13388
41168,141913,13417
52522,147340,13447
15639,65244,13457
14313,61877,13461
37159,133866,13495
5929,5205,13516
20580,15037,13520
1964,5210,13528
20831,5216,13556
20832,5218,13561
35048,114628,13564
10651,22543,13600
20833,5229,13605
20834,5234,13610
11166,24621,13612
20836,5237,13618
2002,5252,13715
2004,5254,13720
14223,61721,13767
10561,21429,13769
36955,133170,13773
1908,5284,13794
15911,66151,13820
