CRSP_PERMCO,Compustat_GVKEY,BoardEx_boardID,TICKER,RP_entityID
44992,157414,461440,ANDS,NOU0CL
21732,010466,30468,ANDV,NaN
272,001651,2186,ANDW,NaN
58278,038706,3390819,ANEB,CB8411
275,001635,2155,ANEN,NaN
22200,063643,446,ANF,0624BE
56057,032502,1735219,ANGI,C5CB9D
9849,014581,2199,ANGN,A22D8C
45192,264387,480997,ANGO,627186
34672,066654,2292,ANH,C8FAC7
34672,066654,2292,ANH.PRA,NaN
12119,028209,2234,ANIK,C38440
44505,018204,4391,ANIP,165B86
6473,012717,2305769,ANIX,A652C7
59655,043382,3688710,ANL,0E35B2
21131,013776,1865,ANLD,NaN
283,001634,2148,ANLY,NaN
28876,021828,2248,ANN,3AB7F4
15728,065515,2246,ANNB,NaN
57166,036768,3239391,ANNX,56045
18007,066060,2206,ANP,8ABE35
46145,162448,598387,ANRZQ,NaN
3744,008872,884,ANSI,NaN
14744,063080,2257,ANSS,2158DF
14503,062571,2254,ANST,NaN
44881,162403,108502,ANSVQ,NaN
45690,160447,731417,ANSW,NaN
42914,146617,96307,ANT,NaN
45489,160887,780213,ANTF,NaN
6638,006308,24333,ANTP,NaN
59220,040833,3520482,ANTX,BMAMQU
52248,177405,945964,ANVGQ,NaN
56983,035416,3154166,ANVS,7B055A
54947,016972,1985834,ANY,C563D1
50690,061645,5481,AOGSQ,NaN
53258,183920,1608137,AOL,NaN
38402,138481,1984,AOLAQ,NaN
58328,039039,3408316,AOMR,8185B3
23306,003221,2297,AON,C5EF8D
20203,003221,2297,AON,C5EF8D
53217,180636,1586997,AONEQ,NaN
11958,027823,8338,AORT,NaN
53387,184604,1640803,AOSL,A99EEC
57196,036826,3256274,AOUT,291651
53375,124634,1648992,AOXG,FE5613
20192,001613,2096,AP,2.59E+53
20204,001678,2307,APA,5ABEC0
47875,112533,807092,APAB,NaN
14039,061407,2306,APAC,NaN
26215,001682,2314,APAGF,NaN
54336,016113,1938625,APAM,373B06
20223,014686,2751,APB,8132D3
20194,011923,2138,APC,28543A
9873,014565,1905,APCC,NaN
17927,129418,620943,APCS,NaN
59117,165286,3495279,APCX,NaN
20030,001209,1173,APD,4DF358
15854,065904,2384,APDA,NaN
55103,106126,2167221,APDN,7C9FE3
52854,178797,785698,APEI,68AB62
54228,029687,1898054,APEN,AD811C
975,001533,1896,APFC,NaN
55607,027148,2491539,APFH,NaN
57057,325576,2711287,APG,E845D9
59600,043091,3663667,APGE,NaN
31967,014282,2100,APH,BB07E4
27471,014282,2100,APH,BB07E4
56575,022387,1984187,APHA,D06CF0
10874,023799,2323,APHTQ,NaN
55223,023423,2239390,APIC,NaN
7338,001109,706,APII,NaN
51301,175111,790420,APKT,NaN
36608,144097,2957,APL,337024
44803,146738,3525508,APLD,F09A2E
55250,023977,2287421,APLE,9D3360
59510,039693,3460912,APLM,NaN
58864,039693,3460912,APLM,NaN
51316,175741,1101456,APLP,NaN
56148,026359,2725802,APLS,B290A2
56733,035091,3031636,APLT,1B6F77
13463,031144,2397,APLX,NaN
58643,039176,3436111,APMIU,6HF8F4
4334,011531,2366,APN,A82E0C
58995,039100,3472904,APNCU,NaN
317,001686,2331,APOG,EF77A3
13457,031122,2337,APOL,NaN
58169,038212,3382543,APP,9A4ECA
28879,016665,2359,APPB,NaN
50020,179110,863061,APPCQ,NaN
55298,024071,2300312,APPF,D06996
55932,031236,2660908,APPN,C6C702
38418,009551,1958074,APPS,7A2A49
5306,009551,1958074,APPS,7A2A49
42536,145512,2000,APPX,NaN
57906,037826,3345343,APR,2D2838
56905,035648,3089357,APRE,0AAD90
55967,031624,2673835,APRN,93F433
43848,016642,420480,APRO,NaN
8973,016642,420480,APRO,NaN
18005,130398,2406,APRS,NaN
12045,027997,2392,APSG,NaN
37130,062072,1578,APT,337024
17149,124320,2413,APTM,NaN
53714,185345,1696099,APTS,791EC1
53927,118122,1735209,APTV,64CEBB
56396,033643,2829576,APTX,8AB85C
30868,061839,103377,APU,NaN
55606,027338,2499663,APVO,B7142B
6413,003584,8155,APYI,6A1AD3
44602,012719,4897,APYX,21D903
6200,012719,4897,APYX,21D903
55834,275862,783809,AQB,3C6A10
10652,022461,2502,AQJ,NaN
55798,115044,15293,AQN,9DF2E4
18327,132361,3200,AQNT,NaN
42403,146119,796958,AQQSQ,DE5B6E
56449,033743,2887908,AQST,B8A51F
59412,041294,3570265,AQU,NaN
55551,026126,2445160,ARA,41183B
51803,176670,421736,ARAY,B2DAF6
43501,142748,2469,ARB,87904E
57557,037163,3301032,ARBG,38F400
57557,037163,3301032,ARBGU,38F400
45992,160867,635655,ARBX,NaN
46146,162076,464110,ARC,1FE87F
24975,001743,2573,ARCB,7D7716
11512,001743,2573,ARCB,7D7716
45709,161966,650003,ARCC,949BA4
58826,039657,3471489,ARCKU,OI8O7E
53279,183554,1607159,ARCL,NaN
54622,018866,2006192,ARCX,NaN
44027,142945,2520,ARD,B146C6
39152,140061,2878,ARDI,NaN
14740,063081,2452,ARDM,NaN
14740,063081,2075349,ARDMQ,NaN
332,001728,2507,ARDNA,NaN
56482,033855,2898644,ARDS,B5D623
54883,020645,2077794,ARDX,4E6F5A
59165,040723,3506791,AREB,FJB47Z
56641,025589,3003843,AREC,176167
12705,025093,3003843,AREC,176167
53854,029064,3507074,AREN,F2A6F9
54837,020412,2065312,ARES,32E873
52855,178798,502135,AREX,NaN
58707,039364,3453233,ARGU,NaN
58707,039364,3453233,ARGUU,NaN
58908,039820,3472272,ARHS,SK5IFO
13098,030674,2553,ARIA,NaN
50194,165358,827425,ARII,NaN
34965,117862,2487,ARJ,NaN
56793,312066,3042040,ARKO,7CA8F6
23481,001767,3042040,ARKO,7CA8F6
7914,011872,2571,ARKR,6FFFDF
56475,033766,2893637,ARLO,6D3F35
16779,122915,1467,ARLP,F99DEC
54666,186858,2022894,ARMK,2F1299
56226,032895,2767271,ARMO,NaN
13099,332115,2344861,ARMP,01DD5D
37917,138122,2519,ARNA,CE5C6E
11612,025523,2519,ARNA,CE5C6E
57034,035978,3186318,ARNC,B5767B
52690,065009,952094,AROC,7A9A90
1940,016668,2622,AROW,54A646
54383,012006,1951088,ARPI,NaN
53980,170781,1801204,ARPJQ,NaN
15040,063789,2612,ARQL,NaN
56997,036028,3155033,ARQT,99B61C
11567,025355,2623,ARRO,NaN
12407,028853,2616,ARRS,NaN
9452,013712,602648,ARS,16E74D
52945,179378,465641,ARST,1B7B45
51548,174743,881222,ARTEQ,NaN
58709,038088,3457395,ARTEU,NaN
14661,017341,2642,ARTNA,0CADBC
357,001783,2660,ARTW,796BC0
12874,029762,10322,ARTX,NaN
8352,012358,10322,ARTX,NaN
51982,176781,957345,ARUN,FB71E7
56514,034077,2921110,ARVN,732A9B
20217,001773,2621,ARW,EBF169
12204,028806,16285,ARWR,AEFC90
47007,163628,667264,ARXT,A3AEC8
336,001056,967,ARXX,NaN
58549,039099,3421026,ARYE,B20DBC
20015,001062,550880,ASA,E56128
57296,036964,3275129,ASAN,9.07E+05
57376,036976,3275866,ASAQ,B876D3
57376,036976,3275866,ASAQ.U,B876D3
57909,037993,3340853,ASAXU,75C898
362,011842,2817,ASB,44659F
53897,190567,1731590,ASBB,NaN
8990,016637,1979,ASBI,NaN
12549,029143,2044,ASCA,NaN
45168,116924,733217,ASCBQ,424EF4
23522,002834,733217,ASCBQ,424EF4
53080,180821,1342778,ASCMA,NaN
82,001554,1924,ASEI,NaN
14124,061544,2834,ASFI,NaN
52130,260758,914743,ASFN,NaN
11713,025749,23131,ASGN,532D47
11217,024669,1985,ASGR,NaN
20222,001794,2727,ASH,E6A53A
10582,021519,2737,ASHW,NaN
55684,028070,2536336,ASIX,2AE625
16632,121834,2773,ASKJ,NaN
56655,037587,2991439,ASLE,E134A2
26169,013400,1190873,ASM,01AF03
53635,185289,1677474,ASMB,11A49E
3720,008787,2496,ASN,NaN
59286,041227,3531950,ASNS,NaN
59435,041768,3581621,ASPI,NaN
17872,113646,2787,ASPM,NaN
54908,187550,2076653,ASPN,387375
10578,021508,2786,ASPT,NaN
56030,170920,463665,ASPU,C48574
54729,019418,2041385,ASPX,NaN
15802,065944,9034,ASRT,AD8C78
7407,017269,2039,ASRV,6B8935
59484,041545,3610574,ASST,NaN
55039,021150,2155317,AST,6D2E17
8299,012262,2837,ASTE,DDB002
58827,001263,3330834,ASTL,A71CB7
57756,037048,3330834,ASTL,A71CB7
28041,001263,3330834,ASTL,A71CB7
56891,038598,3080243,ASTS,D82E83
14432,062382,29603,ASTX,NaN
11455,025138,635120,ASUR,15789A
55934,031292,2656454,ASV,NaN
13255,030584,2873,ASVI,NaN
6244,008864,2123,ASYS,DEF96A
12417,028884,2875,ASYTQ,NaN
57889,038058,3356811,ASZ.U,F1C3D8
20057,001318,1537,AT,1.22E+59
57605,037569,3313813,ATA.U,64C576
15233,064160,1026,ATAC,NaN
57399,038845,3287705,ATAC.U,NaN
12123,028248,481322,ATAHQ,NaN
58051,037952,3360010,ATAQ,406C44
58051,037952,3360010,ATAQ.U,406C44
44286,123495,803659,ATBC,NaN
9861,014582,2333,ATCS,NaN
44123,147101,917603,ATCV,16BBB4
13882,061069,2836,ATEA,F36FFB
50854,166555,850181,ATEC,949D62
59028,040304,3485832,ATEK,BYVDRM
59028,040304,3485832,ATEK.U,BYVDRM
50305,165991,808099,ATEL,NaN
54756,019849,2056222,ATEN,44209A
