CUSIP,CRSP_PERMCO,TICKER,Compustat_GVKEY,BoardEx_boardID,RP_entityID
G0070K10,29796,ACL,028034,616,
87251T10,58985,TGVC,039425,3471835,
98422T10,58905,XLO,039806,3466031,
45091110,20964,IIN,005860,17153,
90268510,58897,UDMY,039818,3470068,
46005L10,55849,IMXI,033911,2606810,
73931210,3641,POW,005149,13213,
24279D10,58087,DCRC,038094,3371830,
78435P10,59625,SEZL,333070,3063800,
12520T10,57616,CFIV,037548,3318274,
18270710,16127,CLRS,185372,1647390,
31758540,16609,FISI,121713,11826,
77879W10,57692,ROT,039738,3328693,
G8509410,58547,APAC,038641,3423125,
09056810,579,BMSC,008060,22092,
74970910,21995,RPS,015111,25730,
68371210,57064,OPEN,037519,3190719,
31788K10,59070,FNGR,032367,3492070,
12769G10,55000,CZR,021808,2148336,
81621210,55591,RNAC,027354,2476958,
57847310,7337,MJW,007138,19898,
74933X30,56509,VTAK,033824,2921268,
32019F10,6944,FFSM,016832,13309,
26801010,58288,DYNS,038783,3397377,
42366C10,14093,HEMX,062525,14632,
07279B10,58921,BAFN,025476,3481843,
32007610,1689,FEMP,004699,19327,
12805820,1783,CLBS,004632,887375,
98400V10,58084,XBP,038259,3364699,
57313410,58536,MRT,033049,3419821,
87043Q10,58915,SG,039961,3476866,
05479K10,57426,ELUT,036985,3278922,
88166T10,44631,TSRA,156153,467631,
46065010,2381,IPIPF,006135,10607,
39981710,12378,GBIZ,028785,13976,
74019L60,37961,PRPO,032078,2675043,
98741Y10,59276,YOTA,040854,3526520,
12500610,6702,CCXN,002536,736,
92260210,10302,VCOR,110179,32450,
12611710,20363,CAF,002558,7150,
67734710,21326,OEC,008099,11964,
03633810,13915,ANSN,061140,3194858,
22989910,840,CFBI,003643,8414,
67577R10,53015,OCUP,037325,1261522,
45778Q10,31890,NSP,064302,803,
55264110,59332,MAIA,041132,3552055,
56146T10,58582,MAMA,017494,3422902,
67103H10,12097,ORLY,028180,23350,
30252010,8534,FNB,018049,12170,
65566410,3217,NOBE,007922,22406,
89628U10,56672,TRNE,037537,3009726,
79286010,4293,SPK,062689,469152,
54419210,11401,LRP,025750,19161,
G7007D10,58877,PCCT,038612,3469298,
02877320,7978,MINT,012096,9137,
91822J20,55556,VBIV,025289,18753,
54150930,2706,LOM,006788,25756,
00246010,21409,AZP,001075,24493,
66979W84,58263,NMG,020890,1939463,
76129910,54724,RTRX,016848,2035010,
69315310,16687,PASW,122175,1024834,
26210U20,46446,DCAR,036535,780519,
04950610,59395,AMV,041621,3569468,
92854B10,55108,VANI,021421,2168192,
74982T10,59410,RXO,041716,3577347,
81181C10,41391,SGEN,141460,27435,
44364H10,59413,HUDA,041202,3573670,
55445L10,59684,MNR,043507,3695790,
44977D10,10836,INAV,023623,3293089,
69343410,12702,PMCTS,019966,735451,
29261A10,8596,EHC,012589,14523,
35801010,1686,FEIC,004900,12515,
32055710,54332,INBK,162293,1934678,
75513E10,21832,RTX,010983,32161,
03211P30,13099,APHB,332115,2344861,
36076810,20707,FFC,011729,33445,
25145710,1261,DBNK,003231,7401,
35843510,1824,FRED,004903,12533,
65290E10,59479,NXT,041996,3612582,
26145B10,58653,DFLI,038277,3434964,
G3167L10,58809,NFYS,039431,3459995,
64065040,1783,NBS,004632,887375,
29250N10,2381,ENBRF,006135,10607,
47736610,16665,JFAX,122172,17230,
86887Q10,53724,SSSS,186993,1715488,
55349810,2971,MSA,007420,20749,
02262M40,58428,ALZN,038791,3406824,
83144530,59311,CNXA,035948,3539981,
91057110,4690,UNIR,010902,32106,
90249410,4620,TYSN,010793,31563,
75134P50,55864,METCB,029670,2609226,
25493110,16506,DFXI,027760,9335,
91102210,4673,UMSB,010916,31671,
98919510,21949,ZY,011672,30801,
92372510,54349,VET,030075,731312,
92912P10,53711,IHD,187099,2566535,
45827K10,58947,INTE,039581,3472186,
84856030,57307,SPIR,039442,3264019,
41651510,31386,HIG,061739,14372,
42786610,20906,HSY,005597,14714,
02874P10,43722,AOBC,115757,624788,
88516010,6765,THOR,010549,30662,
92931L40,46446,WPCS,036535,780519,
G8068L10,59599,SN,043113,3669967,
76097510,16396,RIMM,065986,26104,
46564T10,3333,ITI,008087,17126,
34619R10,57540,FRX,039112,3303041,
98985Y10,55912,ZYME,031059,2651951,
31738L10,58182,FOA,038618,3018103,
90265310,3334,UDR,010894,32094,
78454L10,11857,SM,026013,28989,
17166A10,56002,CBUS,032193,2682408,
71404610,20616,RVTY,004145,24183,
66510M20,45870,NAK,107637,630198,
25282810,56416,DNTH,033500,2829242,
11259V10,59237,BBUC,040340,3514345,
65339F10,20684,FPL,004517,12407,
21870U50,51798,CORR,165209,823406,
30040W10,21299,ES,007970,22660,
83406B10,56954,SAQN,037214,3114362,
87654510,57786,PMGM,037137,3325582,
49714K10,57637,KINZ,037526,3313839,
98310W10,50965,WYN,174729,858089,
42704L10,51423,HRI,026749,853864,
05968510,589,BNHI,002005,253576,
61244M10,59294,MCAC,041174,3531156,
23325P10,20607,DNP,014700,9722,
82835P10,53123,SVM,108326,1019093,
44962310,11018,IHP,024291,15548,
36870H10,59473,GNLX,041538,3606899,
38278810,56232,GPAQ,036701,2769515,
00438Y10,58845,ENER,039469,3465351,
67079K10,57579,SMR,037073,3302534,
68632T10,56864,ORSN,035398,3358240,
28852N10,53520,EFC,183902,1666094,
20323310,20894,CWH,013579,15148,
38743210,59426,GRNT,036951,3267600,
